sample,site,year,habitat,class,order,taxa,rel_ab_recalc
BEOL_2013-06-05_m,BEOL,2013,Multiple,Malacostraca,Amphipoda,Amphipoda,0.0013569430576700799
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Odonata,Argia,0.0035545026510663625
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Ceratopogonidae,0.01872907579598572
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Chironomidae,0.1215288401649757
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Chironominae,0.11309912530671282
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Odonata,Coenagrionidae,0.004319028683558719
BEOL_2013-06-05_m,BEOL,2013,Multiple,Collembola,Collembola,Collembola,0.001184834050355447
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Hemiptera,Corixidae,0.01838485578135637
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Coleoptera,Curculionidae,5.924170251777235e-4
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Ephydridae,0.002121469090162436
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Odonata,Erpetogomphus,5.924170251777235e-4
BEOL_2013-06-05_m,BEOL,2013,Multiple,Gastropoda,Basommatophora,Ferrissia rivularis,5.924170251777235e-4
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Odonata,Gomphidae,0.0013569430576700799
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Ephemeroptera,Heptageniidae,0.030713291305314878
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Odonata,Hetaerina,0.005083554716051075
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Coleoptera,Microcylloepus pusillus,0.001184834050355447
BEOL_2013-06-05_m,BEOL,2013,Multiple,Clitellata,Clitellata,Oligochaeta,0.019549765830865047
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Orthocladiinae,0.1651865435204281
