Sample ID,Site,Sample No,Site ID,Year,Visit ID,COMID,Waterbody Name,Network,State,NAMC Latitude,NAMC Longitude,Customer Latitude,Customer Longitude,Collection Date,Ecosystem,Habitat,Sample Type,Sampler Type,Field Notes,Lab Notes,Area,Field Split,Lab Split,Split Count,Completion Date
140542,GICL,1,NA,2008,NA,2430292,West Fork of Gila River,SODN,NM,33.22900772,-108.2628403,,,2008-06-10,Stream/river,Riffle,Benthic,Kick net,NA,NA,0.74,100,25,617,
140543,GICL,1,NA,2008,NA,2430292,West Fork of Gila River,SODN,NM,33.22900772,-108.2628403,,,2008-06-10,Stream/river,Multiple,Benthic,Kick net,NA,NA,1.023,100,50,644,
140544,MOCC,1,NA,2008,NA,20454224,Beaver Creek,SODN,AZ,34.60811,-111.845,,,2008-06-03,Stream/river,Multiple,Benthic,Kick net,NA,NA,1.023,100,100,236,
140545,MOWE,1,NA,2008,NA,20454068,Wet Beaver Creek at Montezuma Well,SODN,AZ,34.64564133,-111.7616196,,,2008-06-04,Stream/river,Riffle,Benthic,Kick net,NA,NA,0.74,100,100,527,
140546,MOWE,1,NA,2008,NA,20454068,Wet Beaver Creek at Montezuma Well,SODN,AZ,34.64564133,-111.7616196,,,2008-06-04,Stream/river,Multiple,Benthic,Kick net,NA,NA,1.023,100,100,612,
140547,TUZI,1,NA,2008,NA,20451706,Verde River,SODN,AZ,34.76639938,-112.025177,,,2008-06-04,Stream/river,Riffle,Benthic,Kick net,NA,NA,0.74,100,18.75,740,
140548,TUZI,1,NA,2008,NA,20451706,Verde River,SODN,AZ,34.76639938,-112.025177,,,2008-06-05,Stream/river,Multiple,Benthic,Kick net,NA,NA,1.023,100,100,402,
140549,TUMM,1,NA,2008,NA,15905101,Santa Cruz River at southern boundary of Tumacacori NHP,SODN,AZ,31.56326103,-111.0456161,,,2008-05-20,Stream/river,Riffle,Benthic,Kick net,NA,NA,0.74,100,100,109,
140550,TUMM,1,NA,2008,NA,15905101,Santa Cruz River at southern boundary of Tumacacori NHP,SODN,AZ,31.56326103,-111.0456161,,,2008-05-20,Stream/river,Multiple,Benthic,Kick net,NA,NA,1.023,100,100,177,
146741,CHIR,1,CHIR-001,2010,NA,21261789,Superintentent Spring,SODN,AZ,32.00876,-109.36635,,,2010-06-11,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,13,
146742,CHIR,2,CHIR-002,2010,NA,21261789,Kraft Spring,SODN,AZ,32.008834,-109.36691,,,2010-06-11,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,8,
146743,CHIR,1,CHIR-003,2010,NA,21261793,Silver Spur Spring,SODN,AZ,32.0087,-109.35994,,,2010-06-12,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,16,
146744,CHIR,1,CHIR-005,2010,NA,21261813,Garfield Spring,SODN,AZ,32.0014,-109.35812,,,2010-06-13,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,3,
146745,CHIR,1,CHIR-006,2010,NA,21261757,Bear Scat Spring,SODN,AZ,32.03474,-109.33195,,,2010-06-14,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,1,
146746,CHIR,1,CHIR-008,2010,NA,21261789,Bonita Park Spring,SODN,AZ,32.009513,-109.361514,,,2010-06-24,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,22,
146747,CHIR,1,CHIR-009,2010,NA,21261757,Shake Spring,SODN,AZ,32.02173,-109.3389,,,2010-06-23,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,21,
146748,CHIR,1,CHIR-010,2010,NA,21261785,Roadside Spring,SODN,AZ,32.015606,-109.35352,,,2010-06-24,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,9,
146749,CORO,1,CORO-006,2010,NA,15934855,"Blue Waterfall, Site 1",SODN,AZ,31.3515,-110.25741,,,2010-07-24,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,13,
146750,CORO,1,CORO-009,2010,NA,15934855,"Joe's Canyon Trail, Site 2",SODN,AZ,31.3403,-110.26203,,,2010-07-27,Stream/river,Spring,Benthic,Kick net,NA,NA,NA,100,100,10,
