Sample,Site,Park,State,Network,Date,Habitat,Abedus,Acentrella,Aedes,Aeshnidae,Agabus,Allognosta,Ambrysus,Amphipoda,Ampumixis dispar,Anisoptera,Anopheles,Antocha monticola,Aquarius,Archilestes,Argia,Arrenurus,Asioplax,Atherix,Atopsyche,Atrichopogon/Forcipomyia,Baetidae,Baetis,Baetodes,Belostoma,Belostomatidae,Berosus,Bezzia,Bivalvia,Boreoheptagyia,Brachycentrus,Brachycentrus americanus,Brachycentrus occidentalis,Brechmorhoga mendax,Buenoa,Caenidae,Caenis,Caenis amica/latipennis,Callibaetis,Caloparyphus,Calopterygidae,Cambaridae,Camelobaetidius,Capnia,Capniidae,Centroptilum,Ceratopogon,Ceratopogonidae,Cernotina,Chelifera,Cheumatopsyche,Chimarra,Chironomidae,Chironominae,Chloroperlinae,Cinygmula,Claassenia sabulosa,Cleptelmis addenda,Clinocera,Clitellata,Cloeodes,Coenagrionidae,Collembola,Copelatus,Corbicula fluminea,Cordulegaster diadema,Corixidae,Corydalus cornutus,Culex,Culicidae,Culicoides,Culiseta,Culoptila/Protoptila,Curculionidae,Dasyhelea,Decapoda,Diamesinae,Dicranota,Dineutus,Diptera,Dixa,Dixella,Dixidae,Dolichopodidae,Drunella grandis,Dubiraphia,Dytiscidae,Elmidae,Empididae,Enallagma,Enochrus,Epeorus,Ephemerella dorothea/excrucians,Ephemerella tibialis,Ephemerellidae,Ephemeroptera,Ephydridae,Erpetogomphus,Erpobdellidae,Eubrianax edwardsii,Eucorethra underwoodi,Euparyphus,Eylais,Fallceon,Faxonius virilis,Ferrissia rivularis,Gammarus,Gastropoda,Gerridae,Glossiphoniidae,Glossosoma,Glossosomatidae,Gomphidae,Graptocorixa,Gymnochthebius,Gyraulus,Gyretes,Gyrinidae,Gyrinus,Haliplidae,Helichus,Helicopsyche,Helisoma,Helius,Helobdella stagnalis,Helochares,Helophorus,Hemerodromia,Heptagenia,Heptageniidae,Hesperoperla pacifica,Hetaerina,Heterelmis,Heteroptera,Hyalella,Hydraena,Hydrobiidae,Hydrochus,Hydrophilidae,Hydropsyche,Hydropsychidae,Hydroptila,Hydroptilidae,Hygrobates,Hygrobatidae,Hygrotus,Ischnura,Isogenoides,Isonychia,Isoperla,Ithytrichia clavata,Laccophilus,Lebertia,Lepidostoma,Leptoceridae,Leptohyphes,Leptohyphidae,Leptophlebia,Leptophlebiidae,Lethocerus,Leucotrichia,Leucrocuta,Libellula,Libellulidae,Limnephilidae,Limnophila,Limnoporus,Limonia,Liodessus obscurellus,Lymnaea,Macrovelia,Malenka,Marilia flexuosa,Maruina,Mayatrichia/Neotrichia,Meringodixa chalonensis,Metrobates,Micrasema,Microcylloepus pusillus,Microvelia,Mideopsis,Molophilus,Muscidae,Myxosargus,Naucoridae,Nectopsyche,Nematoda,Nemotelus,Nemouridae,Neoclypeodytes,Neocorixa,Neocylloepus,Neoelmis caesa,Neoplasta,Neotrichia,Noctuidae,Notonecta,Notonectidae,Ochrotrichia,Ochthebius,Odontomyia,Oecetis,Oligochaeta,Ophiogomphus,Optioservus,Optioservus divergens,Optioservus quadrimaculatus,Orthocladiinae,Oxus,Oxyethira,Paltothemis lineatipes,Paracloeodes minutus,Paracymus,Paraleptophlebia,Parapsyche,Peltodytes,Pericoma,Perlidae,Perlodidae,Petrophila,Philopotamidae,Phylloicus mexicanus,Physa,Pisidiidae,Pisidium,Planorbella,Planorbidae,Platyhelminthes,Plecoptera,Polycentropodidae,Polycentropus,Postelichus,Probezzia,Progomphus borealis,Protzia,Psephenidae,Psephenus,Pseudocloeon,Psychoda,Psychodidae,Psychomyia,Psychomyiidae,Pteronarcys californica,Ranatra,Rhagovelia,Rhantus,Rhithrogena,Rhyacophila,Sanfilippodytes,Sciomyzidae,Scirtidae,Serratella,Simuliidae,Simulium,Siphlonuridae,Skwala americana,Smicridea,Sperchon,Sperchonidae,Sperchonopsis,Sphaerium,Stenelmis,Stictotarsus,Stratiomyidae,Stratiomys,Tabanidae,Tabanus,Taeniopterygidae,Tanypodinae,Testudacarus,Thermonectus marmoratus,Thermonectus nigrofasciatus,Thraulodes,Tipula,Tipulidae,Torrenticola,Torrenticolidae,Traverella albertana,Trepobates,Triaenodes,Trichocorixa,Trichoptera,Tricorythodes,Trombidiformes,Tropisternus,Uvarus,Vacupernius packeri,Veliidae,Wiedemannia,Wormaldia,Xenacoelomorpha,Zaitzevia parvula,Zapada,Zygoptera
GICL_2008-06-10_r,GICL,GICL,NM,SODN,2008-06-10,Riffle,0,0.003210273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605136,0,0.009630819,0.02728732,0,0.001605136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605136,0,0,0,0,0,0,0,0,0,0,0.001605136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003210273,0,0,0,0,0,0,0,0,0.004815409,0,0,0,0,0,0,0,0,0,0.001605136,0.02568218,0,0,0,0,0,0,0,0,0.001605136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004815409,0,0,0,0,0,0,0.006420546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605136,0,0,0.08507223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1252006,0,0,0,0.04173355,0,0,0,0,0,0,0,0,0.001605136,0,0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003210273,0,0,0,0,0.001605136,0,0,0,0,0
GICL_2008-06-10_m,GICL,GICL,NM,SODN,2008-06-10,Multiple,0,0.01215805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6550152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004559271,0,0.006079027,0.02735562,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0,0,0.01975684,0,0,0,0,0,0,0,0,0,0.001519757,0.003039514,0,0.007598784,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0.001519757,0,0.001519757,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519757,0.006079027,0,0.001519757,0.06079027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106383,0,0.04103344,0.004559271,0,0,0.05319149,0,0,0,0,0,0,0,0,0.001519757,0,0.03951368,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0.01519757,0,0,0,0,0.003039514,0,0,0,0,0
MOCA_2008-06-03_m,MOCC,MOCA,AZ,SODN,2008-06-03,Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279661,0.03813559,0,0,0,0,0,0,0.008474576,0,0,0.004237288,0,0,0,0,0.2542373,0,0,0,0,0,0,0,0.004237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004237288,0,0,0,0,0,0,0,0.2457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004237288,0.004237288,0,0,0,0,0,0,0,0,0,0
MOWE_2008-06-04_r,MOWE,MOCA,AZ,SODN,2008-06-04,Riffle,0,0.003795066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03036053,0.512334,0.001897533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001897533,0.003795066,0,0.02466793,0.0113852,0.0113852,0.028463,0,0,0,0,0.003795066,0,0,0,0,0,0,0,0,0.001897533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007590133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04364326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113852,0.04743833,0.003795066,0.003795066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01518027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07969639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001897533,0,0,0,0,0,0,0,0,0,0,0,0.001897533,0,0.01328273,0,0,0,0.04743833,0,0,0,0,0,0,0,0,0,0,0.0227704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056926,0,0,0,0.007590133,0,0,0,0,0,0,0
MOWE_2008-06-04_m,MOWE,MOCA,AZ,SODN,2008-06-04,Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4313726,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0.006535948,0.001633987,0,0,0.001633987,0,0,0.001633987,0,0.03921569,0.001633987,0.02124183,0.02941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0,0,0.08660131,0,0,0,0,0,0,0,0.03267974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.006535948,0.01797386,0.003267974,0,0,0,0,0,0,0,0,0,0.001633987,0,0,0,0,0,0.001633987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02287582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0.001633987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001633987,0,0,0.001633987,0.02124183,0,0,0,0,0,0,0,0,0,0,0.02287582,0,0,0,0,0,0,0,0.001633987,0,0,0,0,0,0.1062092,0,0,0,0.004901961,0,0,0,0,0,0,0
TUZI_2008-06-04_r,TUZI,TUZI,AZ,SODN,2008-06-04,Riffle,0,0,0,0,0,0,0.005347594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276738,0.09224599,0.004010695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005347594,0,0.002673797,0.004010695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001336898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01069519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01336898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004010695,0,0,0,0,0,0,0.002673797,0,0,0,0,0,0.00802139,0,0,0,0,0,0.04411765,0.1524064,0,0.118984,0,0,0,0,0,0.006684492,0,0,0,0.002673797,0,0,0,0,0,0,0,0,0,0,0.001336898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09491979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001336898,0,0,0,0,0.01737968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02272727,0,0,0.01203209,0,0,0,0,0,0,0.001336898,0,0.02540107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04946524,0.01470588,0,0,0,0,0,0,0.004010695,0,0,0
TUZI_2008-06-05_m,TUZI,TUZI,AZ,SODN,2008-06-05,Multiple,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0.02238806,0.09950249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01741293,0,0,0,0.002487562,0,0,0.002487562,0,0.007462686,0,0,0.002487562,0,0,0.1965174,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07462686,0.004975124,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487562,0.009950249,0.004975124,0.01243781,0.004975124,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01243781,0,0,0,0,0,0,0.02736318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2139304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0.02238806,0,0,0,0.02736318,0,0,0,0,0,0,0,0.08457711,0,0,0,0,0,0,0,0,0,0,0,0.01492537,0,0.1019901,0.009950249,0,0,0,0,0,0,0,0,0,0
TUMM_2008-05-20_r,TUMM,TUMM,AZ,SODN,2008-05-20,Riffle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1192661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05504587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7155963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04587156,0,0,0,0,0,0,0,0,0.009174312,0,0,0,0,0,0.05504587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUMM_2008-05-20_m,TUMM,TUMM,AZ,SODN,2008-05-20,Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.1186441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02824859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6892655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0.05649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIR_2010-06-11_s,CHIR,CHIR,AZ,SODN,2010-06-11,Spring,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0,0,0,0,0,0
