Phylum,Class,Order,Family,ScientificName,Taxa
Arthropoda,Insecta,Hemiptera,Belostomatidae,Abedus,Abedus
Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Acentrella
Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshnidae
Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Agabus
Arthropoda,Insecta,Diptera,Stratiomyidae,Allognosta,Allognosta
Arthropoda,Insecta,Hemiptera,Naucoridae,Ambrysus,Ambrysus
Arthropoda,Malacostraca,Amphipoda,NA,Amphipoda,Amphipoda
Arthropoda,Insecta,Coleoptera,Elmidae,Ampumixis dispar,Ampumixis dispar
Arthropoda,Insecta,Odonata,NA,Anisoptera,Anisoptera
Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles
Arthropoda,Insecta,Diptera,Tipulidae,Antocha monticola,Antocha monticola
Arthropoda,Insecta,Odonata,Lestidae,Archilestes,Archilestes
Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia
Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,Arrenurus
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Asioplax,Asioplax
Arthropoda,Insecta,Diptera,Athericidae,Atherix,Atherix
Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Atopsyche,Atopsyche
Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon/Forcipomyia,Atrichopogon/Forcipomyia
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetidae,Baetidae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Baetodes
Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostoma,Belostoma
Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostomatidae,Belostomatidae
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus
Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,Bezzia
Mollusca,Bivalvia,Bivalvia,NA,Bivalvia,Bivalvia
Arthropoda,Insecta,Diptera,Chironomidae,Boreoheptagyia,Boreoheptagyia
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus americanus,Brachycentrus americanus
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus occidentalis,Brachycentrus occidentalis
Arthropoda,Insecta,Odonata,Libellulidae,Brechmorhoga mendax,Brechmorhoga mendax
Arthropoda,Insecta,Hemiptera,Notonectidae,Buenoa,Buenoa
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenidae,Caenidae
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis amica/latipennis,Caenis amica/latipennis
Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,Callibaetis
Arthropoda,Insecta,Diptera,Stratiomyidae,Caloparyphus,Caloparyphus
Arthropoda,Insecta,Odonata,Calopterygidae,Calopterygidae,Calopterygidae
Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambaridae,Cambaridae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius
Arthropoda,Insecta,Plecoptera,Capniidae,Capnia,Capnia
Arthropoda,Insecta,Plecoptera,Capniidae,Capniidae,Capniidae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Centroptilum,Centroptilum
Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogon,Ceratopogon
Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Cernotina,Cernotina
Arthropoda,Insecta,Diptera,Empididae,Chelifera,Chelifera
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche
